n,MotherID,FatherID,Zygosity
100925,200214,300214,NotTwin
100926,200004,300004,MZ
100927,200384,300384,NotTwin
100928,200454,300454,NotMZ
100929,200216,300216,MZ
100930,200341,300341,NotTwin
100931,200085,300085,NotMZ
100932,200279,300279,MZ
100933,200464,300464,NotTwin
100934,200359,300359,NotMZ
100935,200223,300223,NotMZ
100936,200097,300097,NotTwin
